a1,15,20,
a2,65,20,
a3,115,20,
a4,165,20,
a5,255,20,
a6,305,20,
a7,395,20,
a8,445,20,
a9,495,20,
a10,545,20,
a11,635,20,
a12,685,20,
a13,775,20,
a14,825,20,
b1,15,110,
b2,65,110,
b3,115,110,
b4,165,110,
b5,255,110,
b6,305,110,
b7,395,110,
b8,445,110,
b9,495,110,
b10,545,110,
b11,635,110,
b12,685,110,
b13,775,110,
b14,825,110,
c1,15,200,
c2,65,200,
c3,115,200,
c4,165,200,
c5,255,200,
c6,305,200,
c7,395,200,
c8,445,200,
c9,495,200,
c10,545,200,
c11,635,200,
c12,685,200,
c13,775,200,
c14,825,200,
d1,15,290,
d2,65,290,
d3,115,290,
d4,165,290,
d5,255,290,
d6,305,290,
d7,395,290,
d8,445,290,
d9,495,290,
d10,545,290,
d11,635,290,
d12,685,290,
d13,775,290,
d14,825,290,
e1,15,380,
e2,65,380,
e3,115,380,
e4,165,380,
e5,255,380,
e6,305,380,
e7,395,380,
e8,445,380,
e9,495,380,
e10,545,380,
e11,635,380,
e12,685,380,
e13,775,380,
e14,825,380,
f1,15,470,
f2,65,470,
f3,115,470,
f4,165,470,
f5,255,470,
f6,305,470,
f7,395,470,
f8,445,470,
f9,495,470,
f10,545,470,
f11,635,470,
f12,685,470,
f13,775,470,
f14,825,470,
g1,15,560,
g2,65,560,
g3,115,560,
g4,165,560,
g5,255,560,
g6,305,560,
g7,395,560,
g8,445,560,
g9,495,560,
g10,545,560,
g11,635,560,
g12,685,560,
g13,775,560,
g14,825,560,
h1,15,650,
h2,65,650,
h3,115,650,
h4,165,650,
h5,255,650,
h6,305,650,
h7,395,650,
h8,445,650,
h9,495,650,
h10,545,650,
h11,635,650,
h12,685,650,
h13,775,650,
h14,825,650,
i1,15,740,
i2,65,740,
i3,115,740,
i4,165,740,
i5,255,740,
i6,305,740,
i7,395,740,
i8,445,740,
i9,495,740,
i10,545,740,
i11,635,740,
i12,685,740,
i13,775,740,
i14,825,740,
j1,15,830,
j2,65,830,
j3,115,830,
j4,165,830,
j5,255,830,
j6,305,830,
j7,395,830,
j8,445,830,
j9,495,830,
j10,545,830,
j11,635,830,
j12,685,830,
j13,775,830,
j14,825,830,
k1,15,920,
k2,65,920,
k3,115,920,
k4,165,920,
k5,255,920,
k6,305,920,
k7,395,920,
k8,445,920,
k9,495,920,
k10,545,920,
k11,635,920,
k12,685,920,
k13,775,920,
k14,825,920,
l1,15,1010,
l2,65,1010,
l3,115,1010,
l4,165,1010,
l5,255,1010,
l6,305,1010,
l7,395,1010,
l8,445,1010,
l9,495,1010,
l10,545,1010,
l11,635,1010,
l12,685,1010,
l13,775,1010,
l14,825,1010,
m1,15,1100,
m2,65,1100,
m3,115,1100,
m4,165,1100,
m5,255,1100,
m6,305,1100,
m7,395,1100,
m8,445,1100,
m9,495,1100,
m10,545,1100,
m11,635,1100,
m12,685,1100,
m13,775,1100,
m14,825,1100,
n1,15,1190,
n2,65,1190,
n3,115,1190,
n4,165,1190,
n5,255,1190,
n6,305,1190,
n7,395,1190,
n8,445,1190,
n9,495,1190,
n10,545,1190,
n11,635,1190,
n12,685,1190,
n13,775,1190,
n14,825,1190,
o1,15,1280,
o2,65,1280,
o3,115,1280,
o4,165,1280,
o5,255,1280,
o6,305,1280,
o7,395,1280,
o8,445,1280,
o9,495,1280,
o10,545,1280,
o11,635,1280,
o12,685,1280,
o13,775,1280,
o14,825,1280,
p1,15,1370,
p2,65,1370,
l3,115,1370,
p4,165,1370,
p5,255,1370,
p6,305,1370,
p7,395,1370,
p8,445,1370,
p9,495,1370,
p10,545,1370,
p11,635,1370,
p12,685,1370,
p13,775,1370,
p14,825,1370,


