a1,50,30,90,70,
a2,110,30,150,70,
a3,210,30,250,70,
a4,270,30,310,70,
a5,370,30,410,70,
a6,430,30,470,70
a7,530,30,570,70,
a8,590,30,630,70,
a9,690,30,730,70,
a10,750,30,790,70,

b1,50,150,90,190,
b2,110,150,150,190,
b3,210,150,250,190,
b4,270,150,310,190,
b5,370,150,410,190,
b6,430,150,470,190
b7,530,150,570,190,
b8,590,150,630,190,
b9,690,150,730,190,
b10,750,150,790,190,

c1,50,250,90,280,
c2,110,250,150,280,
c3,210,250,250,280,
c4,270,250,310,280,

d1,50,370,90,410,
d2,110,370,150,410,
d3,210,370,250,410,
d4,270,370,310,410,







